//===== eAthena Script ======================================= 
//= Morroc Village - Housing for Rent
//===== By: ================================================== 
//= Zephyrus
//===== Current Version: ===================================== 
//= 1.0 10399
//===== Compatible With: ===================================== 
//= eAthena SVN Stable 
//===== Description: ========================================= 
//= Script que contiene el código para los mapas rent_mc.
//= rentc1 y rentinc1 correspondientes a Morroc.
//===== Additional Comments: ================================= 
//= 1.0 Versión Inicial
//============================================================ 

//============================================================ 
//= Warp de Acceso Principal
//============================================================ 

rent_mc,49,96,0	warp	rentcm1		1,1,moc_fild07,369,370
moc_fild07,373,374,0	warp	rentcm2		1,1,rent_mc,49,92

//============================================================ 
//= Propietario, Letreros y Kafra
//============================================================ 

rent_mc,55,20,1	duplicate(BRent_Propietario)	Propietario#c	833
moc_fild07,367,373,3	duplicate(BRent_SignA)	Villas Morroc#c	837
rent_mc,56,92,1	duplicate(BRent_SignB)	Letrero#c	835
rent_mc,41,26,1	duplicate(BRent_Kafra)	Kafra Service#c	721

//============================================================ 
//= Accesos a Propiedades
//============================================================ 

rent_mc,36,35,1	duplicate(BRent_SignC)	Casa c1#c1	835
rent_mc,65,35,1	duplicate(BRent_SignC)	Casa c2#c2	835
rent_mc,36,40,1	duplicate(BRent_SignC)	Casa c3#c3	835
rent_mc,65,40,1	duplicate(BRent_SignC)	Casa c4#c4	835
rent_mc,36,45,1	duplicate(BRent_SignC)	Casa c5#c5	835
rent_mc,65,45,1	duplicate(BRent_SignC)	Casa c6#c6	835
rent_mc,36,50,1	duplicate(BRent_SignC)	Casa c7#c7	835
rent_mc,65,50,1	duplicate(BRent_SignC)	Casa c8#c8	835
rent_mc,36,55,1	duplicate(BRent_SignC)	Casa c9#c9	835
rent_mc,65,55,1	duplicate(BRent_SignC)	Casa c10#c10	835
rent_mc,36,60,1	duplicate(BRent_SignC)	Casa c11#c11	835
rent_mc,65,60,1	duplicate(BRent_SignC)	Casa c12#c12	835
rent_mc,36,65,1	duplicate(BRent_SignC)	Casa c13#c13	835
rent_mc,65,65,1	duplicate(BRent_SignC)	Casa c14#c14	835
rent_mc,36,70,1	duplicate(BRent_SignC)	Casa c15#c15	835
rent_mc,65,70,1	duplicate(BRent_SignC)	Casa c16#c16	835
rent_mc,36,75,1	duplicate(BRent_SignC)	Casa c17#c17	835
rent_mc,65,75,1	duplicate(BRent_SignC)	Casa c18#c18	835
rent_mc,36,80,1	duplicate(BRent_SignC)	Casa c19#c19	835
rent_mc,65,80,1	duplicate(BRent_SignC)	Casa c20#c20	835
rent_mc,36,85,1	duplicate(BRent_SignC)	Casa c21#c21	835
rent_mc,65,85,1	duplicate(BRent_SignC)	Casa c22#c22	835

//============================================================ 
//= Warps rentb -> rent_mb (Salida a la Ciudad)
//============================================================ 

rentc1,20,2,0	warp	rentc101	1,1,rent_mc,50,27
rentc2,20,2,0	warp	rentc201	1,1,rent_mc,50,27
rentc3,20,2,0	warp	rentc301	1,1,rent_mc,50,27
rentc4,20,2,0	warp	rentc401	1,1,rent_mc,50,27
rentc5,20,2,0	warp	rentc501	1,1,rent_mc,50,27
rentc6,20,2,0	warp	rentc601	1,1,rent_mc,50,27
rentc7,20,2,0	warp	rentc701	1,1,rent_mc,50,27
rentc8,20,2,0	warp	rentc801	1,1,rent_mc,50,27
rentc9,20,2,0	warp	rentc901	1,1,rent_mc,50,27
rentc10,20,2,0	warp	rentc1001	1,1,rent_mc,50,27
rentc11,20,2,0	warp	rentc1101	1,1,rent_mc,50,27
rentc12,20,2,0	warp	rentc1201	1,1,rent_mc,50,27
rentc13,20,2,0	warp	rentc1301	1,1,rent_mc,50,27
rentc14,20,2,0	warp	rentc1401	1,1,rent_mc,50,27
rentc15,20,2,0	warp	rentc1501	1,1,rent_mc,50,27
rentc16,20,2,0	warp	rentc1601	1,1,rent_mc,50,27
rentc17,20,2,0	warp	rentc1701	1,1,rent_mc,50,27
rentc18,20,2,0	warp	rentc1801	1,1,rent_mc,50,27
rentc19,20,2,0	warp	rentc1901	1,1,rent_mc,50,27
rentc20,20,2,0	warp	rentc2001	1,1,rent_mc,50,27
rentc21,20,2,0	warp	rentc2101	1,1,rent_mc,50,27
rentc22,20,2,0	warp	rentc2201	1,1,rent_mc,50,27

//============================================================ 
//= Warps rentb -> rentinb (Entrada a Indoors)
//============================================================ 

rentc1,19,22,0	warp	rentc102	1,1,rentinc1,20,8
rentc2,19,22,0	warp	rentc202	1,1,rentinc2,20,8
rentc3,19,22,0	warp	rentc302	1,1,rentinc3,20,8
rentc4,19,22,0	warp	rentc402	1,1,rentinc4,20,8
rentc5,19,22,0	warp	rentc502	1,1,rentinc5,20,8
rentc6,19,22,0	warp	rentc602	1,1,rentinc6,20,8
rentc7,19,22,0	warp	rentc702	1,1,rentinc7,20,8
rentc8,19,22,0	warp	rentc802	1,1,rentinc8,20,8
rentc9,19,22,0	warp	rentc902	1,1,rentinc9,20,8
rentc10,19,22,0	warp	rentc1002	1,1,rentinc10,20,8
rentc11,19,22,0	warp	rentc1102	1,1,rentinc11,20,8
rentc12,19,22,0	warp	rentc1202	1,1,rentinc12,20,8
rentc13,19,22,0	warp	rentc1302	1,1,rentinc13,20,8
rentc14,19,22,0	warp	rentc1402	1,1,rentinc14,20,8
rentc15,19,22,0	warp	rentc1502	1,1,rentinc15,20,8
rentc16,19,22,0	warp	rentc1602	1,1,rentinc16,20,8
rentc17,19,22,0	warp	rentc1702	1,1,rentinc17,20,8
rentc18,19,22,0	warp	rentc1802	1,1,rentinc18,20,8
rentc19,19,22,0	warp	rentc1902	1,1,rentinc19,20,8
rentc20,19,22,0	warp	rentc2002	1,1,rentinc20,20,8
rentc21,19,22,0	warp	rentc2102	1,1,rentinc21,20,8
rentc22,19,22,0	warp	rentc2202	1,1,rentinc22,20,8

//============================================================ 
//= Warps rentinb -> rentb (Salida de Indoors)
//============================================================ 

rentinc1,20,4,0	warp	rentinc1	1,1,rentc1,20,18
rentinc2,20,4,0	warp	rentinc2	1,1,rentc2,20,18
rentinc3,20,4,0	warp	rentinc3	1,1,rentc3,20,18
rentinc4,20,4,0	warp	rentinc4	1,1,rentc4,20,18
rentinc5,20,4,0	warp	rentinc5	1,1,rentc5,20,18
rentinc6,20,4,0	warp	rentinc6	1,1,rentc6,20,18
rentinc7,20,4,0	warp	rentinc7	1,1,rentc7,20,18
rentinc8,20,4,0	warp	rentinc8	1,1,rentc8,20,18
rentinc9,20,4,0	warp	rentinc9	1,1,rentc9,20,18
rentinc10,20,4,0	warp	rentinc10	1,1,rentc10,20,18
rentinc11,20,4,0	warp	rentinc11	1,1,rentc11,20,18
rentinc12,20,4,0	warp	rentinc12	1,1,rentc12,20,18
rentinc13,20,4,0	warp	rentinc13	1,1,rentc13,20,18
rentinc14,20,4,0	warp	rentinc14	1,1,rentc14,20,18
rentinc15,20,4,0	warp	rentinc15	1,1,rentc15,20,18
rentinc16,20,4,0	warp	rentinc16	1,1,rentc16,20,18
rentinc17,20,4,0	warp	rentinc17	1,1,rentc17,20,18
rentinc18,20,4,0	warp	rentinc18	1,1,rentc18,20,18
