// Documento Base para Crear Villas de Casas

// Warp Principal *********************************************************************************
rent_ma,49,96,0	warp	rentam1		1,1,pay_arche,148,83
pay_arche,152,87,0	warp	rentam2		1,1,rent_ma,49,92

// Anuncio en la Entrada y Disponibilidad de Casas ************************************************
rent_ma,55,20,1	duplicate(BRent_Propietario)	Propietario#a	833
pay_arche,143,85,3	duplicate(BRent_SignA)	Villas Payon#a	837
rent_ma,56,92,1	duplicate(BRent_SignB)	Letrero#a	835
rent_ma,41,26,1	duplicate(BRent_Kafra)	Kafra Service#a	721

// NPCs de ACCESO A LAS PROPIEDADES ***************************************************************

rent_ma,36,35,1	duplicate(BRent_SignC)	Casa a1#a1	835
rent_ma,65,35,1	duplicate(BRent_SignC)	Casa a2#a2	835
rent_ma,36,40,1	duplicate(BRent_SignC)	Casa a3#a3	835
rent_ma,65,40,1	duplicate(BRent_SignC)	Casa a4#a4	835
rent_ma,36,45,1	duplicate(BRent_SignC)	Casa a5#a5	835
rent_ma,65,45,1	duplicate(BRent_SignC)	Casa a6#a6	835
rent_ma,36,50,1	duplicate(BRent_SignC)	Casa a7#a7	835
rent_ma,65,50,1	duplicate(BRent_SignC)	Casa a8#a8	835
rent_ma,36,55,1	duplicate(BRent_SignC)	Casa a9#a9	835
rent_ma,65,55,1	duplicate(BRent_SignC)	Casa a10#a10	835
rent_ma,36,60,1	duplicate(BRent_SignC)	Casa a11#a11	835
rent_ma,65,60,1	duplicate(BRent_SignC)	Casa a12#a12	835
rent_ma,36,65,1	duplicate(BRent_SignC)	Casa a13#a13	835
rent_ma,65,65,1	duplicate(BRent_SignC)	Casa a14#a14	835
rent_ma,36,70,1	duplicate(BRent_SignC)	Casa a15#a15	835
rent_ma,65,70,1	duplicate(BRent_SignC)	Casa a16#a16	835
rent_ma,36,75,1	duplicate(BRent_SignC)	Casa a17#a17	835
rent_ma,65,75,1	duplicate(BRent_SignC)	Casa a18#a18	835
rent_ma,36,80,1	duplicate(BRent_SignC)	Casa a19#a19	835
rent_ma,65,80,1	duplicate(BRent_SignC)	Casa a20#a20	835
rent_ma,36,85,1	duplicate(BRent_SignC)	Casa a21#a21	835
rent_ma,65,85,1	duplicate(BRent_SignC)	Casa a22#a22	835

// WARPS DE CASAS *********************************************************************************

renta1,20,2,0	warp	renta101	1,1,rent_ma,50,27
renta1,19,28,0	warp	renta102	1,1,rentina1,25,6
rentina1,26,2,0	warp	rentina1	1,1,renta1,19,23
renta2,20,2,0	warp	renta201	1,1,rent_ma,50,27
renta2,19,28,0	warp	renta202	1,1,rentina2,25,6
rentina2,26,2,0	warp	rentina2	1,1,renta2,19,23
renta3,20,2,0	warp	renta301	1,1,rent_ma,50,27
renta3,19,28,0	warp	renta302	1,1,rentina3,25,6
rentina3,26,2,0	warp	rentina3	1,1,renta3,19,23
renta4,20,2,0	warp	renta401	1,1,rent_ma,50,27
renta4,19,28,0	warp	renta402	1,1,rentina4,25,6
rentina4,26,2,0	warp	rentina4	1,1,renta4,19,23
renta5,20,2,0	warp	renta501	1,1,rent_ma,50,27
renta5,19,28,0	warp	renta502	1,1,rentina5,25,6
rentina5,26,2,0	warp	rentina5	1,1,renta5,19,23
renta6,20,2,0	warp	renta601	1,1,rent_ma,50,27
renta6,19,28,0	warp	renta602	1,1,rentina6,25,6
rentina6,26,2,0	warp	rentina6	1,1,renta6,19,23
renta7,20,2,0	warp	renta701	1,1,rent_ma,50,27
renta7,19,28,0	warp	renta702	1,1,rentina7,25,6
rentina7,26,2,0	warp	rentina7	1,1,renta7,19,23
renta8,20,2,0	warp	renta801	1,1,rent_ma,50,27
renta8,19,28,0	warp	renta802	1,1,rentina8,25,6
rentina8,26,2,0	warp	rentina8	1,1,renta8,19,23
renta9,20,2,0	warp	renta901	1,1,rent_ma,50,27
renta9,19,28,0	warp	renta902	1,1,rentina9,25,6
rentina9,26,2,0	warp	rentina9	1,1,renta9,19,23
renta10,20,2,0	warp	renta1001	1,1,rent_ma,50,27
renta10,19,28,0	warp	renta1002	1,1,rentina10,25,6
rentina10,26,2,0	warp	rentina10	1,1,renta10,19,23
renta11,20,2,0	warp	renta1101	1,1,rent_ma,50,27
renta11,19,28,0	warp	renta1102	1,1,rentina11,25,6
rentina11,26,2,0	warp	rentina11	1,1,renta11,19,23
renta12,20,2,0	warp	renta1201	1,1,rent_ma,50,27
renta12,19,28,0	warp	renta1202	1,1,rentina12,25,6
rentina12,26,2,0	warp	rentina12	1,1,renta12,19,23
renta13,20,2,0	warp	renta1301	1,1,rent_ma,50,27
renta13,19,28,0	warp	renta1302	1,1,rentina13,25,6
rentina13,26,2,0	warp	rentina13	1,1,renta13,19,23
renta14,20,2,0	warp	renta1401	1,1,rent_ma,50,27
renta14,19,28,0	warp	renta1402	1,1,rentina14,25,6
rentina14,26,2,0	warp	rentina14	1,1,renta14,19,23
renta15,20,2,0	warp	renta1501	1,1,rent_ma,50,27
